time unit: s, fft_wrapper:inst|sink_sop, fft_wrapper:inst|sink_eop, CLOCK_50, fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11..0], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[10], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[9], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[8], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[7], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[6], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[5], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[4], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[3], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[2], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[1], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[0], fft_wrapper:inst|fft:fft_inst|source_sop, fft_wrapper:inst|fft:fft_inst|source_eop, fft_wrapper:inst|real_power[17..0], fft_wrapper:inst|real_power[17], fft_wrapper:inst|real_power[16], fft_wrapper:inst|real_power[15], fft_wrapper:inst|real_power[14], fft_wrapper:inst|real_power[13], fft_wrapper:inst|real_power[12], fft_wrapper:inst|real_power[11], fft_wrapper:inst|real_power[10], fft_wrapper:inst|real_power[9], fft_wrapper:inst|real_power[8], fft_wrapper:inst|real_power[7], fft_wrapper:inst|real_power[6], fft_wrapper:inst|real_power[5], fft_wrapper:inst|real_power[4], fft_wrapper:inst|real_power[3], fft_wrapper:inst|real_power[2], fft_wrapper:inst|real_power[1], fft_wrapper:inst|real_power[0], fft_wrapper:inst|imag_power[17..0],, fft_wrapper:inst|imag_power[16], fft_wrapper:inst|imag_power[15], fft_wrapper:inst|imag_power[14], fft_wrapper:inst|imag_power[13], fft_wrapper:inst|imag_power[12], fft_wrapper:inst|imag_power[11], fft_wrapper:inst|imag_power[10], fft_wrapper:inst|imag_power[9], fft_wrapper:inst|imag_power[8], fft_wrapper:inst|imag_power[7], fft_wrapper:inst|imag_power[6], fft_wrapper:inst|imag_power[5], fft_wrapper:inst|imag_power[4], fft_wrapper:inst|imag_power[3], fft_wrapper:inst|imag_power[2], fft_wrapper:inst|imag_power[1], fft_wrapper:inst|imag_power[0], 
0, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X," X,", X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
39,0,0,1,11111001111,0,1,1,1,1,1,0,0,1,1,1,1,0,0,-139,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,-72,"-72,",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0, 
40,0,0,1,11111001111,0,1,1,1,1,1,0,0,1,1,1,1,0,0,70,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,-192,"-192,",1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0, 
41,0,0,1,11111010000,0,1,1,1,1,1,0,1,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,55,"55,",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1, 
42,0,0,1,11111001111,0,1,1,1,1,1,0,0,1,1,1,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,168,"168,",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0, 
43,0,0,1,11111001111,0,1,1,1,1,1,0,0,1,1,1,1,0,0,-135,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,4,"4,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, 
44,0,0,1,11111001111,0,1,1,1,1,1,0,0,1,1,1,1,0,0,-101,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,-130,"-130,",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0, 
45,0,0,1,11111001110,0,1,1,1,1,1,0,0,1,1,1,0,0,0,153,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,-87,"-87,",1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1, 
46,0,0,1,11111001110,0,1,1,1,1,1,0,0,1,1,1,0,0,0,141,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,104,"104,",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0, 
47,0,0,1,11111001101,0,1,1,1,1,1,0,0,1,1,0,1,0,0,-162,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,153,"153,",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1, 
48,0,0,1,11111001100,0,1,1,1,1,1,0,0,1,1,0,0,0,0,-149,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,-98,"-98,",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0, 
49,0,0,1,11111001011,0,1,1,1,1,1,0,0,1,0,1,1,0,0,140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,-196,"-196,",1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0, 
50,0,0,1,11111001001,0,1,1,1,1,1,0,0,1,0,0,1,0,0,138,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,102,"102,",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0, 
51,0,0,1,11111001000,0,1,1,1,1,1,0,0,1,0,0,0,0,0,-73,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,198,"198,",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0, 
52,0,0,1,11111000110,0,1,1,1,1,1,0,0,0,1,1,0,0,0,-144,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,-84,"-84,",1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0, 
53,0,0,1,11111000101,0,1,1,1,1,1,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-142,"-142,",1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0, 
54,0,0,1,11111000011,0,1,1,1,1,1,0,0,0,0,1,1,0,0,155,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,24,"24,",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0, 
55,0,0,1,11111000001,0,1,1,1,1,1,0,0,0,0,0,1,0,0,66,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,115,"115,",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1, 
56,0,0,1,11110111111,0,1,1,1,1,0,1,1,1,1,1,1,0,0,-165,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,70,"70,",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0, 
57,0,0,1,11110111100,0,1,1,1,1,0,1,1,1,1,0,0,0,0,-95,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,-80,"-80,",1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0, 
58,0,0,1,11110111010,0,1,1,1,1,0,1,1,1,0,1,0,0,0,152,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,-157,"-157,",1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1, 
59,0,0,1,11110110111,0,1,1,1,1,0,1,1,0,1,1,1,0,0,123,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,113,"113,",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1, 
60,0,0,1,11110110100,0,1,1,1,1,0,1,1,0,1,0,0,0,0,-116,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,202,"202,",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0, 
61,0,0,1,11110110010,0,1,1,1,1,0,1,1,0,0,1,0,0,0,-144,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,-138,"-138,",1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0, 
62,0,0,1,11110101110,0,1,1,1,1,0,1,0,1,1,1,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,-191,"-191,",1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1, 
63,0,0,1,11110101011,0,1,1,1,1,0,1,0,1,0,1,1,0,0,171,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,107,"107,",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1, 
64,0,0,1,11110101000,0,1,1,1,1,0,1,0,1,0,0,0,0,0,-21,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,149,"149,",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1, 
65,0,0,1,11110100100,0,1,1,1,1,0,1,0,0,1,0,0,0,0,-167,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,-15,"-15,",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1, 
66,0,0,1,11110100001,0,1,1,1,1,0,1,0,0,0,0,1,0,0,-21,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,-111,"-111,",1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1, 
67,0,0,1,11110011101,0,1,1,1,1,0,0,1,1,1,0,1,0,0,163,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,-60,"-60,",1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0, 
68,0,0,1,11110011001,0,1,1,1,1,0,0,1,1,0,0,1,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,108,"108,",0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0, 
69,0,0,1,11110010101,0,1,1,1,1,0,0,1,0,1,0,1,0,0,-128,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,145,"145,",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1, 
70,0,0,1,11110010001,0,1,1,1,1,0,0,1,0,0,0,1,0,0,-112,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,-131,"-131,",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1, 
71,0,0,1,11110001100,0,1,1,1,1,0,0,0,1,1,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,-187,"-187,",1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1, 
72,0,0,1,11110001000,0,1,1,1,1,0,0,0,1,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,141,"141,",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1, 
73,0,0,1,11110000011,0,1,1,1,1,0,0,0,0,0,1,1,0,0,-77,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,154,"154,",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0, 
74,0,0,1,11101111111,0,1,1,1,0,1,1,1,1,1,1,1,0,0,-197,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,-114,"-114,",1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0, 
75,0,0,1,11101111010,0,1,1,1,0,1,1,1,1,0,1,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-144,"-144,",1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0, 
76,0,0,1,11101110101,0,1,1,1,0,1,1,1,0,1,0,1,0,0,193,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,40,"40,",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0, 
77,0,0,1,11101101111,0,1,1,1,0,1,1,0,1,1,1,1,0,0,-23,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,119,"119,",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1, 
78,0,0,1,11101101010,0,1,1,1,0,1,1,0,1,0,1,0,0,0,-161,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,50,"50,",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0, 
79,0,0,1,11101100101,0,1,1,1,0,1,1,0,0,1,0,1,0,0,-26,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-130,"-130,",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0, 
80,0,0,1,11101011111,0,1,1,1,0,1,0,1,1,1,1,1,0,0,113,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,-123,"-123,",1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1, 
81,0,0,1,11101011001,0,1,1,1,0,1,0,1,1,0,0,1,0,0,94,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,141,"141,",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1, 
82,0,0,1,11101010100,0,1,1,1,0,1,0,1,0,1,0,0,0,0,-87,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,157,"157,",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1, 
83,0,0,1,11101001110,0,1,1,1,0,1,0,0,1,1,1,0,0,0,-179,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,-142,"-142,",1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0, 
84,0,0,1,11101000111,0,1,1,1,0,1,0,0,0,1,1,1,0,0,79,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,-159,"-159,",1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1, 
85,0,0,1,11101000001,0,1,1,1,0,1,0,0,0,0,0,1,0,0,213,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,98,"98,",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0, 
86,0,0,1,11100111011,0,1,1,1,0,0,1,1,1,0,1,1,0,0,-84,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,148,"148,",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0, 
87,0,0,1,11100110100,0,1,1,1,0,0,1,1,0,1,0,0,0,0,-199,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,-39,"-39,",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1, 
88,0,0,1,11100101110,0,1,1,1,0,0,1,0,1,1,1,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,-151,"-151,",1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1, 
89,0,0,1,11100100111,0,1,1,1,0,0,1,0,0,1,1,1,0,0,149,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,-48,"-48,",1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0, 
90,0,0,1,11100100000,0,1,1,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,155,"155,",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1, 
91,0,0,1,11100011001,0,1,1,1,0,0,0,1,1,0,0,1,0,0,-107,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,87,"87,",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1, 
92,0,0,1,11100010010,0,1,1,1,0,0,0,1,0,0,1,0,0,0,-99,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,-152,"-152,",1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0, 
93,0,0,1,11100001011,0,1,1,1,0,0,0,0,1,0,1,1,0,0,120,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,-72,"-72,",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0, 
94,0,0,1,11100000011,0,1,1,1,0,0,0,0,0,0,1,1,0,0,180,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,132,"132,",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0, 
95,0,0,1,11011111100,0,1,1,0,1,1,1,1,1,1,0,0,0,0,-97,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,141,"141,",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1, 
96,0,0,1,11011110100,0,1,1,0,1,1,1,1,0,1,0,0,0,0,-215,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,-89,"-89,",1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1, 
97,0,0,1,11011101101,0,1,1,0,1,1,1,0,1,1,0,1,0,0,104,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,-189,"-189,",1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1, 
98,0,0,1,11011100101,0,1,1,0,1,1,1,0,0,1,0,1,0,0,191,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,40,"40,",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0, 
99,0,0,1,11011011101,0,1,1,0,1,1,0,1,1,1,0,1,0,0,-84,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,181,"181,",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1, 
100,0,0,1,11011010101,0,1,1,0,1,1,0,1,0,1,0,1,0,0,-146,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,3,"3,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1, 
101,0,0,1,11011001100,0,1,1,0,1,1,0,0,1,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-174,"-174,",1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0, 
102,0,0,1,11011000100,0,1,1,0,1,1,0,0,0,1,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,-38,"-38,",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0, 
103,0,0,1,11010111100,0,1,1,0,1,0,1,1,1,1,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,155,"155,",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1, 
104,0,0,1,11011010011,0,1,1,0,1,1,0,1,0,0,1,1,0,0,-101,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,80,"80,",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0, 
105,0,0,1,11010101011,0,1,1,0,1,0,1,0,1,0,1,1,0,0,-179,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,-145,"-145,",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1, 
106,0,0,1,11010100010,0,1,1,0,1,0,1,0,0,0,1,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,-132,"-132,",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0, 
107,0,0,1,11010011001,0,1,1,0,1,0,0,1,1,0,0,1,0,0,196,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,75,"75,",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1, 
108,0,0,1,11010010000,0,1,1,0,1,0,0,1,0,0,0,0,0,0,-121,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,182,"182,",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0, 
109,0,0,1,11010000111,0,1,1,0,1,0,0,0,0,1,1,1,0,0,-163,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,-29,"-29,",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1, 
110,0,0,1,11001111110,0,1,1,0,0,1,1,1,1,1,1,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,-207,"-207,",1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1, 
111,0,0,1,11001110101,0,1,1,0,0,1,1,1,0,1,0,1,0,0,146,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,32,"32,",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0, 
112,0,0,1,11001101011,0,1,1,0,0,1,1,0,1,0,1,1,0,0,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,194,"194,",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0, 
113,0,0,1,11001100010,0,1,1,0,0,1,1,0,0,0,1,0,0,0,-134,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,-14,"-14,",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0, 
114,0,0,1,11001011000,0,1,1,0,0,1,0,1,1,0,0,0,0,0,-79,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,-147,"-147,",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1, 
115,0,0,1,11001001111,0,1,1,0,0,1,0,0,1,1,1,1,0,0,122,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,-49,"-49,",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1, 
116,0,0,1,11001000101,0,1,1,0,0,1,0,0,0,1,0,1,0,0,142,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,96,"96,",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0, 
117,0,0,1,11000111011,0,1,1,0,0,0,1,1,1,0,1,1,0,0,-142,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,116,"116,",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0, 
118,0,0,1,11000110001,0,1,1,0,0,0,1,1,0,0,0,1,0,0,-168,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,-67,"-67,",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1, 
119,0,0,1,11000100111,0,1,1,0,0,0,1,0,0,1,1,1,0,0,122,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,-197,"-197,",1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1, 
120,0,0,1,11000011101,0,1,1,0,0,0,0,1,1,1,0,1,0,0,165,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,62,"62,",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0, 
121,0,0,1,11000010011,0,1,1,0,0,0,0,1,0,0,1,1,0,0,-59,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,231,"231,",0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1, 
122,0,0,1,11000001001,0,1,1,0,0,0,0,0,1,0,0,1,0,0,-156,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,-64,"-64,",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0, 
123,0,0,1,10111111110,0,1,0,1,1,1,1,1,1,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-197,"-197,",1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1, 
124,0,0,1,10111110100,0,1,0,1,1,1,1,1,0,1,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,37,"37,",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1, 
125,0,0,1,10111101010,0,1,0,1,1,1,1,0,1,0,1,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,137,"137,",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1, 
126,0,0,1,10111011111,0,1,0,1,1,1,0,1,1,1,1,1,0,0,-153,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,33,"33,",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1, 
127,0,0,1,10111010100,0,1,0,1,1,1,0,1,0,1,0,0,0,0,-102,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,-90,"-90,",1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0, 
128,0,0,1,10111001010,0,1,0,1,1,1,0,0,1,0,1,0,0,0,138,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,-123,"-123,",1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1, 
129,0,0,1,10110111111,0,1,0,1,1,0,1,1,1,1,1,1,0,0,152,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,85,"85,",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1, 
130,0,0,1,10110110100,0,1,0,1,1,0,1,1,0,1,0,0,0,0,-108,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,201,"201,",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1, 
131,0,0,1,10110101001,0,1,0,1,1,0,1,0,1,0,0,1,0,0,-157,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,-79,"-79,",1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1, 
132,0,0,1,10110011110,0,1,0,1,1,0,0,1,1,1,1,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,-223,"-223,",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1, 
133,0,0,1,10110010011,0,1,0,1,1,0,0,1,0,0,1,1,0,0,165,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,77,"77,",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1, 
134,0,0,1,10110001000,0,1,0,1,1,0,0,0,1,0,0,0,0,0,-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,193,"193,",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1, 
135,0,0,1,10101111101,0,1,0,1,0,1,1,1,1,1,0,1,0,0,-186,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,-54,"-54,",1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0, 
136,0,0,1,10101110001,0,1,0,1,0,1,1,1,0,0,0,1,0,0,-26,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-137,"-137,",1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1, 
137,0,0,1,10101100110,0,1,0,1,0,1,1,0,0,1,1,0,0,0,173,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,-30,"-30,",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0, 
138,0,0,1,10101011011,0,1,0,1,0,1,0,1,1,0,1,1,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,97,"97,",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1, 
139,0,0,1,10101001111,0,1,0,1,0,1,0,0,1,1,1,1,0,0,-141,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,121,"121,",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1, 
140,0,0,1,10101000100,0,1,0,1,0,1,0,0,0,1,0,0,0,0,-101,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,-88,"-88,",1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0, 
141,0,0,1,10100111000,0,1,0,1,0,0,1,1,1,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,-171,"-171,",1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1, 
